tts_name,human_name
httpsdldropboxusercontentcomsclfi0mumjnd4uvcjg5luyhk8aTTSOathDenizens2jpgrlkeyg6e3cyl98x4b6yer4lelzw5ogdl0.jpg,Denizens Beast.jpg
httpsdldropboxusercontentcomsclfi4vcv8mz6w1kmmiydbzvkzTTSOathDenizens6jpgrlkeyymurmdg3v8zw5pljp0etxz1r2dl0.jpg,Denizens Order.jpg
httpsdldropboxusercontentcomsclfilmbre4jb2gcfqxsekfec2TTSOathDenizens5jpgrlkey0lmg2bne70qigv90d5w0m7421dl0.jpg,Denizens Nomad.jpg
httpsdldropboxusercontentcomsclfiloxok0a2bs9f571u98m5toathstarchartcopyjpgrlkeylur7aexrl3ex30v70zfqtn21ldl0.jpg,Star Map.jpg
httpsdldropboxusercontentcomsclfixbtyvh4bj27yz1nkbmnqnPeoplesFavor2jpgrlkey38a9aox568cgvdsltnqiwllmpdl0.jpg,Banner PF Grand Council.jpg
httpsdldropboxusercontentcomsclfi211cuvqpfx0uaiqifgw5mDarkestSecret2jpgrlkeyxzdwkgbzpoi8re5bkpk9gl54cdl0.jpg,Banner DS Wandering Flame.jpg
httpsdldropboxusercontentcomsclfisepat6cullmgb9i1u1fmvDarkestSecretjpgrlkeyr3airxu1fwycbfshe6ly6duqvdl0.jpg,Banner DS Festival.jpg
httpsdldropboxusercontentcomsclfihxuzhiogdq60afjn32dz9FestivalUnderwayjpgrlkey47mj5ky45nxe2oojlnlwpxho2dl0.jpg,Banner token.jpg
httpsdldropboxusercontentcomsclfi98n5sa360fkrty6qx1tz3PeoplesFavorjpgrlkey4034cjlwthhwp145wxefq5wr1dl0.jpg,Banner PF Mob.jpg
httpsdldropboxusercontentcomsclfi0tke34nh0tpj52zdoxlbwChroniclejpgrlkey9qoudafwenahchip3w29tebqndl0.jpg,Chronicle Tasks 1.jpg
httpsdldropboxusercontentcomsclfip2q5rxjjegisfrss8tsusChronicle2jpgrlkeyvouz444vc7k276bl1u4xrkryldl0.jpg,Chronicle Tasks 2.jpg
httpsdldropboxusercontentcomsclfij79d0xk90tx3qq4o0sx63player3jpgrlkeyuwom5h34rrfyk8lhkbuo2k86vdl0.jpg,Reference Actions.jpg
httpsdldropboxusercontentcomsclfignucj8ikpmzf3u7ufvc6mplayer4jpgrlkeynuuyss7323lk2bum2krc1mz3tdl0.jpg,Reference Misc Actions.jpg
